F,Altitude,Country,Fragmentation_Devices,Fragmentation_Devices_Type,Fragmentation_Devices_Weight,Fragmentation_Devices_Weight_Tons,High_Explosives,High_Explosives_Type,High_Explosives_Weight,High_Explosives_Weight_Tons,Incendiary_Devices,Incendiary_Devices_Type,Incendiary_Devices_Weight,Incendiary_Devices_Weight_Tons,Mission_Date,Mission_ID,Takeoff_Base,Takeoff_Latitude,Takeoff_Location,Takeoff_Longitude,Target_City,Target_Country,Target_Latitude,Target_Longitude,Theater_of_Operations,Total_Weight,Total_Weight_Tons
A36,,USA,,,,,64,500 LB GP (GP-M43/M64),,16,,,,,8/16/1943,96,PONTE OLIVO AIRFIELD,37.131022,SICILY,14.321464,VILLA SAN GIOVANNI,ITALY,38.2,15.65,MTO,,16
A36,,USA,,,,,12,500 LB GP (GP-M43/M64),,3,,,,,8/17/1943,646,PONTE OLIVO AIRFIELD,37.131022,SICILY,14.321464,LA SPEZIA,ITALY,44.1,9.83,MTO,,3
A36,,USA,,,,,12,500 LB GP (GP-M43/M64),,3,,,,,8/17/1943,647,PONTE OLIVO AIRFIELD,37.131022,SICILY,14.321464,LAMEZIA,ITALY,38.92,16.25,MTO,,3
A36,,USA,,,,,24,500 LB GP (GP-M43/M64),,6,,,,,8/18/1943,998,PONTE OLIVO AIRFIELD,37.131022,SICILY,14.321464,SCALEA,ITALY,39.85,15.78,MTO,,6
A36,,USA,,,,,0,500 LB GP (GP-M43/M64),,0,,,,,8/18/1943,1204,PONTE OLIVO AIRFIELD,37.131022,SICILY,14.321464,NICASTRO,ITALY,38.97,16.3,MTO,,0
A36,,USA,,,,,32,500 LB GP (GP-M43/M64),,8,,,,,8/19/1943,1237,PONTE OLIVO AIRFIELD,37.131022,SICILY,14.321464,CATANZARO,ITALY,38.9,16.62,MTO,,8
A36,,USA,,,,,44,500 LB GP (GP-M43/M64),,11,,,,,8/22/1943,1839,PONTE OLIVO AIRFIELD,37.131022,SICILY,14.321464,SALERNO,ITALY,40.67,14.73,MTO,,11
A36,,USA,,,,,12,500 LB GP (GP-M43/M64),,3,,,,,8/23/1943,1889,PONTE OLIVO AIRFIELD,37.131022,SICILY,14.321464,EBOLI,ITALY,40.6,15.07,MTO,,3
PV-1 VENTURA,,NEW ZEALAND,,,,0,16,1000 LB GP (GP-M44/M65),16000,8,,,,0,2/18/1945,2030,BOUGAINVILLE ISLAND,-6.244444,SOLOMON ISLANDS,155.383889,BANIU HARBOR,SOLOMON ISLANDS,-5.5,154.9,PTO,16000,8
A36,,USA,,,,,32,500 LB GP (GP-M43/M64),,8,,,,,8/24/1943,2140,PONTE OLIVO AIRFIELD,37.131022,SICILY,14.321464,CASTROVILLARI,ITALY,39.8,16.2,MTO,,8
A36,,USA,,,,,24,500 LB GP (GP-M43/M64),,6,,,,,8/24/1943,2141,PONTE OLIVO AIRFIELD,37.131022,SICILY,14.321464,SIBARI,ITALY,39.78,16.47,MTO,,6
A36,,USA,,,,,0,500 LB GP (GP-M43/M64),,0,,,,,8/24/1943,2145,PONTE OLIVO AIRFIELD,37.131022,SICILY,14.321464,SAPRI,ITALY,40.07,15.63,MTO,,0
A36,,USA,,,,,32,500 LB GP (GP-M43/M64),,8,,,,,8/27/1943,2774,BARCELONA LANDING GROUND,38.216681,SICILY,15.233294,PAOLA,ITALY,39.35,16.05,MTO,,8
A36,,USA,,,,,24,500 LB GP (GP-M43/M64),,6,,,,,8/27/1943,2775,BARCELONA LANDING GROUND,38.216681,SICILY,15.233294,SIBARI,ITALY,39.78,16.47,MTO,,6
A36,,USA,,,,,16,500 LB GP (GP-M43/M64),,4,,,,,8/27/1943,2776,BARCELONA LANDING GROUND,38.216681,SICILY,15.233294,CASERTA,ITALY,41.07,14.33,MTO,,4
A36,,USA,,,,,12,500 LB GP (GP-M43/M64),,3,,,,,8/28/1943,3202,BARCELONA LANDING GROUND,38.216681,SICILY,15.233294,AVERSA,ITALY,40.97,16.18,MTO,,3
