Target Latitude,Target Longitude,Hello
27.979351,-179.451285,Unique
30.190317,-179.258863,Unique
29.92749,-178.713962,Unique
30.343734,-178.652927,Unique
30.599849,-178.626485,Unique
148.30538,-8.617455,Unique
147.853767,-6.620789,Unique
48.4,-4.5,Unique
43.68,-4.43,Unique
47,-4,Unique
48.57,-3.83,Unique
48.73,-3.45,Unique
47.75,-3.35,Unique
48.52,-2.77,Unique
48.55,-2.55,Unique
47.93,-2.38,Unique
49.47,-2.3,Unique
48.12,-2.22,Unique
47.28,-2.2,Unique
47.9,-2.2,Unique
49.43,-2.08,Unique
47.3,-2.07,Unique
48.44,-2.07,Unique
48.67,-2.07,Unique
48.45,-2.03,Unique
49.67,-2.02,Unique
48.67,-2,Unique
48.58,-1.98,Unique
48.13,-1.97,Unique
48.55,-1.95,Unique
48,-1.93,Unique
48.6,-1.9,Unique
47.9,-1.8,Unique
46.67,-1.77,Unique
48.41,-1.74,Unique
48.03,-1.73,Unique
49.62,-1.72,Unique
48.12,-1.67,Unique
47.47,-1.63,Unique
49.63,-1.62,Unique
48.17,-1.6,Unique
49.53,-1.6,Unique
46.88,-1.58,Unique
48.83,-1.58,Unique
49.6,-1.57,Unique
49.63,-1.57,Unique
43.47,-1.55,Unique
48.98,-1.55,Unique
47.22,-1.53,Unique
49.28,-1.53,Unique
49.61,-1.53,Unique
46.43,-1.52,Unique
48.73,-1.52,Unique
46.43,-1.48,Unique
48.02,-1.48,Unique
49.5,-1.47,Unique
49.05,-1.45,Unique
49.22,-1.45,Unique
46.67,-1.43,Unique
43.07,-1.42,Unique
48.82,-1.42,Unique
49.18,-1.42,Unique
49.47,-1.38,Unique
47.73,-1.37,Unique
48.63,-1.37,Unique
48.7,-1.35,Unique
47.97,-1.33,Unique
46.79,-1.32,Unique
49.58,-1.32,Unique
49.48,-1.3,Unique
49.52,-1.3,Unique
49.63,-1.3,Unique
49.7,-1.3,Unique
49.67,-1.27,Unique
49.68,-1.27,Unique
45.7,-1.25,Unique
48.83,-1.25,Unique
46.17,-1.23,Unique
47.88,-1.23,Unique
49,-1.23,Unique
49.1,-1.23,Unique
49.3,-1.23,Unique
49.42,-1.23,Unique
48.12,-1.22,Unique
48.33,-1.2,Unique
49.1,-1.2,Unique
48.62,-1.17,Unique
49.17,-1.17,Unique
44.53,-1.15,Unique
46.17,-1.15,Unique
45.58,-1.08,Unique
49.12,-1.08,Unique
45.63,-1.03,Unique
49.05,-1.03,Unique
49.23,-1.03,Unique
45.66,-1.02,Unique
44.83,-0.9,Unique
45.63,-0.87,Unique
49.18,-0.85,Unique
45.33,-0.75,Unique
44.9,-0.72,Unique
49.27,-0.72,Unique
45.12,-0.67,Unique
47,-0.67,Unique
48.33,-0.67,Unique
48.4,-0.63,Unique
49.17,-0.63,Unique
49.32,-0.63,Unique
48.3,-0.62,Unique
45.04,-0.61,Unique
47.43,-0.6,Unique
48.67,-0.58,Unique
49.33,-0.58,Unique
44.83,-0.57,Unique
47.47,-0.57,Unique
48.75,-0.57,Unique
48.85,-0.55,Unique
49.05,-0.54,Unique
45,-0.53,Unique
47.43,-0.53,Unique
47.55,-0.52,Unique
49.03,-0.52,Unique
49.32,-0.52,Unique
49.2,-0.5,Unique
44.73,-0.47,Unique
46.18,-0.47,Unique
46.32,-0.47,Unique
48.58,-0.47,Unique
48.97,-0.47,Unique
49.2,-0.47,Unique
48.55,-0.42,Unique
49.03,-0.42,Unique
48.15,-0.4,Unique
43.3,-0.37,Unique
48.7,-0.37,Unique
49.18,-0.37,Unique
48.58,-0.35,Unique
47.83,-0.33,Unique
47.85,-0.33,Unique
49.03,-0.33,Unique
45.7,-0.32,Unique
43.17,-0.27,Unique
44.57,-0.27,Unique
48.03,-0.27,Unique
49.03,-0.27,Unique
49.27,-0.27,Unique
43.7,-0.25,Unique
49.08,-0.25,Unique
47.67,-0.22,Unique
48.9,-0.2,Unique
48.2,-0.17,Unique
49.18,-0.17,Unique
48.72,-0.13,Unique
47.25,-0.08,Unique
49.3,-0.07,Unique
49.05,-0.05,Unique
49.07,-0.05,Unique
49.02,-0.03,Unique
48.73,-0.02,Unique
44,0,Unique
47,0,Unique
48.32,0,Unique
48.65,0,Unique
34,0.02,Unique
36.75,0.02,Unique
48.55,0.02,Unique
31.97,0.03,Unique
34,0.03,Unique
36,0.03,Unique
34.5,0.05,Unique
48.7,0.12,Unique
48.25,0.18,Unique
48,0.2,Unique
49.28,0.2,Unique
48.52,0.22,Unique
49.13,0.23,Unique
49.42,0.23,Unique
48.73,0.25,Unique
47.69,0.27,Unique
48.4,0.27,Unique
48.9,0.27,Unique
43.1,0.3,Unique
46.02,0.3,Unique
43,0.33,Unique
46.57,0.33,Unique
47.33,0.33,Unique
48.33,0.33,Unique
48.83,0.33,Unique
45.2,0.37,Unique
48.35,0.37,Unique
48.52,0.37,Unique
49.08,0.37,Unique
49.23,0.38,Unique
49.75,0.38,Unique
49.02,0.4,Unique
47.7,0.42,Unique
49.4,0.42,Unique
49.6,0.45,Unique
47.37,0.47,Unique
49.57,0.47,Unique
44.85,0.48,Unique
49.35,0.48,Unique
48.07,0.5,Unique
49.35,0.52,Unique
49.47,0.52,Unique
46.82,0.53,Unique
48.73,0.53,Unique
49,0.53,Unique
48.6,0.55,Unique
42.2,0.57,Unique
49.77,0.58,Unique
49.1,0.6,Unique
49.3,0.6,Unique
43.28,0.63,Unique
45.75,0.63,Unique
48.77,0.63,Unique
49.02,0.63,Unique
44,0.67,Unique
46.33,0.67,Unique
48.18,0.67,Unique
48.6,0.67,Unique
48.8,0.67,Unique
49.83,0.67,Unique
47.38,0.68,Unique
48.68,0.68,Unique
45.1,0.7,Unique
48.82,0.7,Unique
49.25,0.7,Unique
49.33,0.7,Unique
47.37,0.72,Unique
49.12,0.72,Unique
49.2,0.72,Unique
49.87,0.72,Unique
49.12,0.73,Unique
49.33,0.73,Unique
49.53,0.73,Unique
49.62,0.75,Unique
49.03,0.77,Unique
49.08,0.77,Unique
49.47,0.77,Unique
49.07,0.78,Unique
48.77,0.8,Unique
49.03,0.8,Unique
49.13,0.8,Unique
49.45,0.8,Unique
47.39,0.82,Unique
49.08,0.82,Unique
48.32,0.83,Unique
43.28,0.85,Unique
43.87,0.87,Unique
48.9,0.88,Unique
48.85,0.9,Unique
48.93,0.9,Unique
49.13,0.9,Unique
49.2,0.9,Unique
48.71,0.91,Unique
44.87,0.92,Unique
49.38,0.92,Unique
43.63,0.93,Unique
48.97,0.95,Unique
49.55,0.95,Unique
49.77,0.95,Unique
47.87,0.97,Unique
48.23,0.97,Unique
48.6,0.97,Unique
48.97,0.97,Unique
49.03,0.97,Unique
49.32,0.97,Unique
49.38,0.97,Unique
49.92,0.97,Unique
48.92,0.98,Unique
49.48,0.98,Unique
49.82,0.98,Unique
43.43,1,Unique
43.67,1,Unique
44,1,Unique
46.33,1,Unique
48.53,1,Unique
49.43,1,Unique
49.67,1,Unique
49.37,1.02,Unique
48.47,1.03,Unique
49.17,1.03,Unique
49.37,1.03,Unique
49.51,1.04,Unique
44.88,1.05,Unique
45.12,1.05,Unique
48.53,1.05,Unique
49.77,1.05,Unique
49.9,1.05,Unique
49.5,1.07,Unique
48.57,1.08,Unique
49.43,1.08,Unique
49.93,1.08,Unique
47.23,1.1,Unique
49.35,1.1,Unique
49.6,1.1,Unique
49.93,1.12,Unique
50.02,1.12,Unique
48.1,1.13,Unique
48.85,1.13,Unique
49.82,1.13,Unique
49.88,1.13,Unique
47.33,1.15,Unique
49.63,1.15,Unique
49.31,1.16,Unique
49.02,1.17,Unique
47.37,1.18,Unique
49.52,1.18,Unique
49.58,1.18,Unique
46.22,1.2,Unique
48.77,1.2,Unique
49.3,1.2,Unique
49.43,1.2,Unique
49.8,1.2,Unique
49.87,1.2,Unique
49.97,1.2,Unique
49.13,1.22,Unique
49.53,1.22,Unique
49.67,1.22,Unique
47.98,1.23,Unique
48.75,1.23,Unique
49.42,1.23,Unique
49.85,1.23,Unique
49.9,1.23,Unique
48.3,1.25,Unique
49.77,1.25,Unique
45.83,1.27,Unique
48.9,1.28,Unique
49.43,1.28,Unique
49.67,1.28,Unique
49.87,1.28,Unique
49.2,1.3,Unique
49.47,1.3,Unique
49.58,1.3,Unique
47.6,1.33,Unique
48.07,1.33,Unique
49.67,1.33,Unique
44.03,1.35,Unique
48.63,1.37,Unique
48.8,1.37,Unique
49.17,1.37,Unique
50.05,1.37,Unique
46,1.38,Unique
48.73,1.38,Unique
49.02,1.38,Unique
49.18,1.38,Unique
49.43,1.38,Unique
46.73,1.4,Unique
48.18,1.4,Unique
48.97,1.4,Unique
49.6,1.4,Unique
49.73,1.4,Unique
49.78,1.4,Unique
50.05,1.42,Unique
43.6,1.43,Unique
48.73,1.43,Unique
